Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
48913,10896,733,571,45564.749075152264,53938.64087239822,424.53797777099936,570.6190281084271,483.5926696805243,168.5161913263134,1423.6708323180121,65.82894983354298,2.022259597312004,268.1298960100259,254880.32930494743,952441.2332831601,907123.7582154745,937324.916989645,239194.68434246362,904163.5814358611,458009.2247678319,530418.9479516463,773400.8371746867,671525.7836129804,505789.0788568692,764545.4224868799,743897.4919768979,631170.8336938088,532497.7248374558,572017.0818876477,0,1,0,1,1051,1402,162673.49817319444,360277.86966780096,481.6015094841391,186.63166707297196,1499.4256516931528,277.09829702112677,286.08790711505566,1,1,1,1,1,1,0,1,9.89677583767967,1239.0232019130012,287.84656269570394,261.20947165199493,1377,233194.45446274467,902076.2755856061,129700.55333829645,751970.9487818216,633178.0014468253,675344.1892895967,353,817425.5111951375,510,181662.72783580172,33834.70598813753,36105.86549281723,838,966,953090.8404832699,789698.0228725839,924238.7958121737,612337.221205484,355677.00979197724,566793.0445162884,675772.3973986312,667634.3855454732,BENIGN
4551,12264,742,319,20035.98917169575,34892.220783012606,431.9326803627139,229.70311697183564,44.01847249841406,403.7484767629125,662.7656588159691,821.6111721109223,414.89568893335024,421.03868135633405,192409.30510429878,726035.7154662916,504467.4731353804,147826.1128122146,945904.0754028029,314082.25717107195,849290.6043357695,60307.45397866832,364549.9110974918,162645.05215445757,576907.6411282764,360757.3228811616,338301.2731306756,424182.95778867474,397841.50414290954,220220.85668648352,1,1,0,0,1059,270,945544.1018377108,752341.3729266978,46.44762446047229,611.2369094397201,190.44464513905683,99.17805500992122,126.4147972699784,1,0,0,1,1,1,1,0,5.887084533485437,1290.4954370283083,1062.5540548121335,714.3594986096809,276,650668.7634186517,367860.78713564697,685.3026846980192,389254.4076222586,262433.5212579382,288757.64065454726,768,313026.4641657968,897,954077.3361160933,37636.94047615219,9424.878121100563,185,939,535494.452662901,4781.179806770952,24238.9052082852,766124.0602611634,790052.7879292513,525275.2459573856,1701.7117775498525,300531.0896142063,BENIGN
35426,96273,733,827,50093.886458972745,60260.52438847927,1302.6846220661062,80.11364913653519,449.521998523021,230.91657979031294,1040.4253360578482,622.4526804363114,424.0855505965395,14.586606658526847,437285.36673877406,309952.18583754933,94513.98310200531,691251.1867923085,568751.5737560776,952695.0163102008,33407.23237531429,544732.0533429101,857902.8559956476,758755.9831089312,493844.21874130005,636272.576347096,984922.686108119,262079.39142611457,79442.1340730832,621162.4131939103,0,1,0,0,1153,178,638552.9355509265,332344.1996234559,257.88517834631006,1059.8501407399563,660.5371209422719,404.20584752861686,434.0224522356979,0,0,0,0,1,1,0,0,6.716239340264895,674.5918698390951,334.1988729543349,1274.9754349765763,287,284749.3424377567,862835.815783491,470144.3529930912,415499.9802392624,30309.199012025223,471112.7167180581,961,702513.0526669492,425,352453.4560338012,6937.535939206402,30746.709748531666,399,741,410591.30672355084,501395.5962482283,210080.22644743696,294843.981521102,373560.6932569612,4224.647892433264,101140.82632081733,307153.28614018025,MALICIOUS
37553,68145,710,961,6791.166103007316,6301.981355885859,59.06091120607548,1119.8907713485366,826.6869680737925,75.59114111209875,885.7502601448228,620.0574184891177,765.6631733370917,448.4052008343331,808753.2429834086,724760.3322492782,286780.3839960347,429036.6625201393,245910.4065527288,56130.80902204537,753167.6649331029,235881.31167224568,133568.20733198017,115288.84901575831,975908.194527329,638092.0168180929,766749.1838764875,956706.6440345694,839407.2536798867,836386.4886876979,0,0,1,0,75,1439,284001.9011937551,586317.7319267611,1477.8779760781924,1090.1890012155434,968.8935835916271,104.74541100331591,466.8273309178275,1,0,1,1,0,0,0,0,3.67572198516372,1225.009684371608,1364.0697095953424,298.96681321394846,136,358110.58649839653,677488.1357851289,478749.1364799912,498922.38090425543,425792.35779152723,737955.1034073214,279,843868.4425867836,346,411453.0281580336,42978.85672108615,50981.670108939325,69,44,518997.87100577244,560821.3749340322,610798.7962008961,359762.2041585198,954774.9731492068,604181.7057519061,868891.3418748148,88036.25036977258,BENIGN
28685,11560,497,721,1304.8719501833284,8942.784803311273,241.8723524823514,704.910706937845,447.1251593608409,112.20643794954272,1255.0959992451872,50.939673618497494,927.1161102463692,410.95244829564683,198479.64787245987,327398.9657265706,314735.52645986347,478456.36024528294,226800.79998698656,934721.4936195329,89159.4919817703,639043.9482211688,348504.9689232317,400437.1242898587,274731.5782826553,243341.7215514331,138695.27588664944,507178.81929100864,909193.8593374523,894449.1183731433,0,1,1,1,432,120,482701.4830209678,320043.0141036088,128.03013744205,1305.6759369514502,1224.4452880227914,311.5303316421381,265.3377906672593,1,0,0,0,0,0,0,0,9.057782731251866,544.0248707607587,161.5624853354277,884.2051499799861,845,68430.1920046262,421386.83744721697,944969.6273443856,739275.053966012,997657.2176096527,465542.69137583603,327,373421.48358770786,678,777368.1813972887,33297.089452226384,44319.482891868116,479,100,556032.1586554331,816030.7101210816,295623.955402051,569278.549848839,685036.5303406209,594986.2970415598,945669.7704783356,395928.1077220359,BENIGN
42327,68980,993,554,2899.9959009305244,36905.995174617725,1487.695751374742,1137.5759285967592,794.610277050146,238.83247660796215,1128.7856818114387,32.26273361932458,40.9776176765978,194.5314533128284,702714.225927322,137795.2662808848,241609.58232698037,384006.7779517511,733204.7944132359,773233.6013352105,466405.0516436329,800930.6674364695,792583.011359374,604143.2784401478,1397.3452109209416,406862.47524766315,562477.9009987485,994574.720873148,129568.18578673867,977624.669901254,0,1,0,1,1382,30,626445.7445199137,490679.75316129863,589.1920034942619,1434.4595168764924,516.1586755178195,460.92141586058284,156.74076597449528,1,0,1,1,0,1,1,0,5.382771578406924,387.280840851872,950.0779033982882,284.34777647410544,817,259978.19837589908,860368.7587698115,778093.2531900317,474737.6444004362,264197.4587281808,442732.6680575177,882,992632.9027615745,107,796377.529929218,62788.92771914479,48028.0808528645,256,1193,15548.764636982403,691.8226477544698,97420.1081788334,163001.52566072522,171282.12007496192,618330.2098292419,834051.2982282289,404944.99207131565,BENIGN
57013,83609,879,730,51496.87972666838,18849.855164862,838.5373981144347,264.1621640096666,820.3962765184937,116.92426853343612,1193.6522143977395,415.00827577913554,1452.1912796878137,24.438491665049135,346511.63948884176,603249.2422209313,548062.4393000662,925478.0686054383,793879.1242590649,939032.0708908151,525104.9657321009,375555.72063151054,692487.2832060484,103685.92216171557,177899.384923763,61256.29064717686,879722.417162123,685513.3662253545,91666.37687647005,284785.19290104654,1,0,1,1,1456,828,94236.09090548301,443822.3257275508,699.6821269927119,160.81157374516118,652.9811726869121,138.35475393441854,322.6707046393804,0,1,1,1,0,0,1,0,0.9580908372512287,98.3235328579603,1492.2875697971958,605.080000366623,1336,951640.0246096334,615066.3536366897,379944.91189024894,680383.2828932981,463534.2972807867,981869.0791716733,318,836390.115553488,985,183249.15416159015,56769.32264721674,9330.080123165539,298,1291,307881.3390884284,35524.02619676109,948670.5017158807,661899.0629819658,82327.82912999082,137226.05996377635,549746.6815893544,197320.12653148445,MALICIOUS
27924,74699,993,624,51483.98137683704,44339.65652650155,1160.935267394899,853.8406292670353,1229.5415127729923,375.0915388630024,594.3338337906648,720.656720145758,691.3482594516831,226.11846783124273,79086.46724147095,766380.8140815805,79828.75089449403,558214.4784663417,617088.829110602,846859.8840558822,614247.6871044994,307773.10215788434,410080.5651088753,191587.86480884603,178668.36925640362,253728.279220077,359770.2061467659,404850.34055426414,493736.8176756555,488151.72500381945,1,1,1,1,826,509,419771.5816017422,495008.80885494046,72.52739989994228,1333.6238331631148,1489.706474999202,103.76938085357062,5.222295161185276,0,1,1,0,0,1,0,1,6.528761173188194,388.0022619162174,1168.0473431181993,919.5005025852232,820,422835.7569495863,430913.89829124283,542860.929517955,804710.9189004963,823177.5872650683,114826.65422861704,296,985624.5880623095,767,324830.7319958161,7979.02656221259,52520.46346522272,464,672,617821.3566058743,113019.15813796381,688761.0598968334,986735.5670268378,151667.1146759687,348423.66483348963,686246.5413068103,301443.1860376144,MALICIOUS
43885,873,811,167,57956.28388743944,6567.577259148472,21.548871384896252,716.0221045282369,406.0113524606836,403.19837929305334,933.602558142848,988.994980949219,234.76545252706222,487.58373373919966,144505.8631689491,85890.5394932169,233537.52955251661,708361.9839797015,849447.3810435593,298987.1994658995,24140.377186523176,876381.5321368995,941991.3677858126,355436.2930567555,243991.45920427068,502080.4477903407,667325.3620907629,407728.7371872519,962553.8837863661,249038.8465151555,1,1,1,0,1144,147,26756.620564020395,785372.733982833,944.6260161132309,1332.4474269838076,338.50107305924064,467.27726524832394,250.6568215633474,1,0,1,1,0,1,0,0,4.394836200674264,1215.3950933596257,675.719807214954,1443.7673321917155,192,129783.8188225614,929624.3470467716,587851.2901888664,439018.00643755775,398037.6078221229,216956.33233417931,693,876746.820727931,247,640522.1049400626,51973.940774925875,50155.63105337669,402,891,703721.8512598957,483985.42238229414,397883.20291639055,787462.9556137583,262228.683441448,93332.68205610379,194772.2622602811,206585.02331316352,MALICIOUS
28078,18604,565,442,10633.133456545394,16592.934920092874,91.90998877377999,998.7252253292351,894.682288889761,357.28002954454047,1263.244425115869,338.15234429608563,60.3361720001317,208.51357427955108,735368.1239835006,806067.4924251281,100229.34013937911,144789.64220675506,960285.4565090698,455029.9977464406,537328.4620605587,658844.3764711017,82295.77632516682,185824.16993189754,300696.17720171117,476694.9026029221,136881.6170845939,642647.0207896435,697532.432436339,75278.90514333957,1,0,0,0,854,1178,754629.5311993986,324906.2667609143,731.1630483766288,277.29091400870095,547.6095206235156,160.7426854144714,427.8007194944816,1,1,1,1,1,1,0,0,7.278063038455645,549.4668349077228,912.866443648109,398.83304511909876,634,458347.215084235,413863.31194991054,645622.9245621891,605681.5415504657,537439.7296109046,466943.0757966343,336,39227.77565410241,144,92215.91599478107,839.59561564061,60792.382170469755,722,1157,838961.0392706951,211339.19959086855,908901.2312172034,167155.68986602768,952503.3165576435,707596.5333771047,145910.1766504911,35897.21617941044,MALICIOUS
52648,1875,634,960,42720.026936402166,20993.53732702571,1014.8358912066022,1103.6564639814121,435.95206105412814,178.49350740751146,467.2547905748268,1158.008359790328,1174.826819808152,220.20060722703911,296291.5082025527,876238.7756373076,428387.82980805356,933928.0183530035,646913.6794099528,641283.870640362,880872.99928303,978191.8989083148,255017.44236238778,544651.7237233121,636782.6728449909,42838.42464672361,110513.20610577297,951791.7907657522,698079.6941262577,206565.99483349582,0,1,1,1,947,674,545574.1874521748,864033.1170137213,548.212655610058,82.06086217878872,1168.3130283278092,240.72610321428834,182.70850922989706,1,0,1,1,0,0,1,0,0.6743003811059667,377.57857941769527,1497.6071172283932,1183.834164674169,542,801227.3269452477,654370.2040865386,113817.26318042995,545707.2944673689,566751.2259937468,938823.9461857548,427,631514.061099848,678,457021.5993517812,14077.742177044494,25923.211023462904,715,714,71126.18113146375,980744.3462580123,966771.1790603965,863092.1782031151,6441.479954793716,552158.5163281205,525048.4946534003,991264.6808098127,BENIGN
38773,27717,917,991,3002.0333433716396,13246.75246594812,799.590238536745,1391.6954369061739,176.01077762654066,209.82917597050337,531.4433612503308,954.0836016349128,59.15664510319968,401.994028597784,625647.3532202898,703977.3958064369,901691.0310644968,739057.0542433542,574209.704769038,341145.2346004383,595744.9176020976,98198.46980122282,833062.0444681398,125440.22311369752,699215.0616633389,593999.8892215013,901929.0361716866,897044.0308785758,26535.617922608613,16950.310562198534,1,1,0,0,482,464,163905.229897655,861374.8837780794,46.91245621522461,1273.5723432911047,687.5606679791374,211.4701767120632,67.78278577731095,1,0,0,0,0,1,0,1,8.368498580361784,946.9239907126158,1474.3221974558217,749.6202753229679,1299,270438.29918399575,847900.4012587881,418908.3999057791,742486.6754875921,663042.9568066534,230886.6251336299,130,349920.6363333498,939,130577.4848350666,15653.378247551138,56978.89712596629,349,914,646122.4020355198,437458.0654562874,74890.69214491206,987172.1673758163,466912.66143470065,341458.38358859206,595638.0918272043,178679.1601498462,MALICIOUS
8383,63187,456,770,45851.96683696321,38204.78876859823,1260.2021256225744,1093.2071420602385,1068.562750967897,15.236905468763274,1249.4432173227844,1046.9106065156013,809.4159192858024,152.05478396347237,435792.24620747083,129741.72409929353,334269.6433828404,606314.080490368,495263.7418344769,272548.473383731,985700.7045124155,693552.5270442006,196288.27703548223,984860.9159861568,83954.67289224056,491091.118161428,96104.41063652752,73104.41636933752,755623.8064534771,123623.44632640865,1,1,1,0,727,44,471440.7607479059,194124.21306933824,889.3275955260041,218.66616958463698,1033.9919030595202,318.5785014545751,154.8480803965895,0,1,0,0,0,0,1,0,6.498711532813899,1277.4237835359568,1221.3820356385334,1483.4690914304215,600,264741.3255070207,903018.7198037725,541440.9154420886,324780.7464065342,323801.0423796983,368213.6087264135,382,415195.5657373877,689,869499.3343160416,47670.692375182116,25326.94312078847,335,1312,490050.9372540085,696463.4548606398,365595.3283214826,150311.82600785798,625063.1976775795,916401.393794963,915037.2472773935,601313.0420974328,BENIGN
44088,34313,958,243,28068.459322201204,48367.45993641651,206.19570535444277,401.97072803617834,143.38085425111507,256.9055848505988,417.73236113652445,1266.822085014759,864.9942587014084,90.01939910924011,293571.65143630584,464612.20492053335,250183.23433169076,771491.7964038213,429896.59460857086,588205.5833776464,546972.7487457207,47198.59819833017,611592.3360313288,929025.3561927247,551478.9764971877,540870.1162272249,464443.7890529386,86652.15099641943,262445.52508451656,602243.1044086814,1,0,1,0,486,1373,647176.8757585589,837700.2573367162,825.9913533721395,915.6873529105482,1407.8044062369504,360.35476757078067,80.38430221138249,1,1,0,0,1,0,1,1,1.7986091961321626,1201.9153316879917,243.1258761035206,789.8711101961552,431,13754.930143821342,858068.8563663064,264191.31284039945,201642.0636583107,821247.6772919362,367141.45325033023,13,609258.9497729953,543,766002.5991445397,32840.63083170789,43021.2250912929,412,1307,524944.9225982644,493465.4009236322,585743.5489544235,175693.97396836316,208575.70676858662,765749.3376488939,765290.8778519122,753755.6688552771,BENIGN
